Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
113.16.214.89-10.53.81.102-443-51691-6,113.16.214.89,443,10.53.81.102,51691,6,29/11/2025 05:10:49 ÏÂÎç,159,3,2,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,396226.41509433964,31446.540880503147,39.75,27.608875384557045,66.0,13.0,140.0,70.0,12.727922061357855,79.0,61.0,85.0,85.0,0.0,85.0,85.0,1,0,0,0,60,40,18867.924528301886,12578.61635220126,0.0,39.0,17.0,19.411336893681487,376.79999999999995,2,0,0,2,5,0,0,0,0.0,20.4,21.0,0.0,0,0,0,0,0,0,0,0,0,0,83,1023,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-113.16.214.89-51691-443-6,10.53.81.102,51691,113.16.214.89,443,6,29/11/2025 05:10:49 ÏÂÎç,7258655,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4132997091058881,3629327.5,5123297.635359915,7252046.0,6609.0,0,0,0,0,0,7252046.0,7252046.0,0.0,7252046.0,7252046.0,0,0,0,0,20,40,0.1377665697019627,0.2755331394039254,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,1023,0,0,20,6609.0,0.0,6609.0,6609.0,7252046.0,0.0,7252046.0,7252046.0,NeedManualLabel
10.53.81.102-220.181.174.226-51798-80-6,10.53.81.102,51798,220.181.174.226,80,6,29/11/2025 05:11:00 ÏÂÎç,50183,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.85413387003567,50183.0,0.0,50183.0,50183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19.927066935017834,19.927066935017834,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,1053,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
